f1,f2,f3,f4,f5,label
0,446,477,482,6,Alif
0,447,477,482,4,Alif
40,447,477,482,556,Alif
20,447,477,482,556,Alif
20,447,477,482,556,Alif
24,447,477,482,556,Alif
21,447,477,482,556,Alif
22,447,478,483,556,Alif
20,447,478,483,556,Alif
46,447,478,483,556,Alif
45,447,478,483,556,Alif
45,447,478,483,556,Alif
29,446,478,484,556,Alif
17,446,478,485,554,Alif
20,446,478,485,555,Alif
20,445,478,485,555,Alif
19,445,478,485,555,Alif
29,445,478,485,555,Alif
25,445,478,485,555,Alif
22,445,478,485,556,Alif
19,445,478,485,555,Alif
20,445,478,485,533,Alif
23,445,478,486,555,Alif
49,445,478,486,555,Alif
40,445,478,486,555,Alif
40,445,478,486,555,Alif
18,445,478,486,555,Alif
18,445,478,486,555,Alif
18,445,478,486,555,Alif
18,445,478,486,555,Alif
19,445,478,486,555,Alif
18,445,478,485,555,Alif
21,445,478,486,555,Alif
22,445,478,486,554,Alif
21,445,478,486,554,Alif
23,445,478,486,554,Alif
20,445,478,486,554,Alif
48,445,478,486,554,Alif
44,446,478,486,554,Alif
14,446,478,486,554,Alif
18,446,478,486,554,Alif
20,446,478,486,554,Alif
20,446,478,486,554,Alif
20,446,478,486,554,Alif
29,446,478,486,554,Alif
19,446,478,486,554,Alif
20,446,478,486,554,Alif
23,446,479,486,554,Alif
22,446,479,486,554,Alif
23,446,479,486,554,Alif
21,446,479,486,554,Alif
38,446,479,486,554,Alif
441,505,551,543,619,Jeem
442,505,551,543,619,Jeem
442,505,551,543,620,Jeem
441,505,551,543,619,Jeem
441,505,551,543,619,Jeem
443,505,551,543,619,Jeem
443,505,551,543,619,Jeem
443,505,551,543,620,Jeem
441,505,551,543,620,Jeem
443,505,551,543,620,Jeem
441,505,551,543,620,Jeem
441,505,551,543,620,Jeem
442,505,551,543,620,Jeem
442,505,551,543,620,Jeem
442,505,551,543,620,Jeem
442,505,551,543,620,Jeem
443,505,551,543,620,Jeem
446,505,551,543,620,Jeem
443,505,551,543,620,Jeem
446,505,551,543,620,Jeem
444,505,551,543,620,Jeem
442,505,551,542,620,Jeem
438,505,551,540,620,Jeem
27,505,551,538,616,Jeem
25,505,551,538,592,Jeem
22,505,551,539,592,Jeem
45,505,551,539,609,Jeem
28,505,551,539,607,Jeem
30,505,551,540,604,Jeem
28,505,551,540,598,Jeem
229,505,551,540,591,Jeem
314,505,551,541,590,Jeem
59,505,551,541,590,Jeem
52,505,551,541,587,Jeem
428,506,551,542,579,Jeem
443,506,551,542,571,Jeem
439,506,551,544,571,Jeem
428,506,552,545,563,Jeem
446,506,552,546,571,Jeem
444,505,552,546,573,Jeem
435,506,552,546,564,Jeem
423,506,552,546,566,Jeem
392,506,552,546,574,Jeem
416,506,552,547,572,Jeem
442,506,552,547,567,Jeem
445,506,552,547,566,Jeem
430,506,552,547,568,Jeem
436,506,552,547,564,Jeem
340,506,552,547,566,Jeem
445,506,552,547,576,Jeem
305,506,552,546,577,Jeem
445,506,552,547,579,Jeem
